School,Close Contact,Positive Case,Suspected Case,Total
Alford ES,1,1,0,2
Britt ES,1,0,0,1
Brookwood ES,0,1,0,1
Brookwood HS,1,1,0,2
Camp Creek ES,7,0,1,8
Cedar Hill ES,1,0,0,1
Chattahoochee ES,0,1,0,1
Dacula ES,2,1,0,3
Dacula HS,2,0,0,2
Duluth MS,0,0,1,1
Duncan Creek ES,12,2,0,14
Freeman's Mill ES,1,0,0,1
Harbins ES,6,2,0,8
Harmony ES,2,0,1,3
Hopkins ES,1,0,0,1
Ivy Creek ES,0,0,1,1
Jones MS,2,0,0,2
Lovin ES,1,0,0,1
McClure Health Science HS,1,1,1,3
McConnell MS,1,0,0,1
McKendree ES,2,0,0,2
Meadowcreek ES,0,0,1,1
Mill Creek HS,3,0,0,3
Moore MS,1,0,0,1
Mulberry ES,1,0,0,1
Norcross HS,5,1,3,9
North Gwinnett MS,1,0,0,1
Osborne MS,23,1,0,24
Parkview HS,1,1,2,4
Patrick ES,4,0,0,4
Paul Duke STEM HS,5,1,0,6
Puckett's Mill ES,1,0,0,1
Radloff MS,14,1,0,15
Richards MS,1,0,0,1
Rock Springs ES,1,0,0,1
Shiloh ES,1,0,0,1
Simpson ES,2,0,0,2
Sweetwater MS,0,1,0,1
Sycamore ES,0,1,0,1
Walnut Grove ES,0,1,0,1
White Oak ES,4,0,0,4
Winn Holt ES,0,1,0,1
