School,Close Contact,Positive Case,Suspected Case,Total
Alford ES,2,0,0,2
Berkmar MS,1,0,0,1
Brookwood ES,1,0,0,1
Crews MS,1,0,0,1
Dacula ES,1,0,0,1
Dacula HS,0,1,0,1
Dacula MS,1,0,0,1
Duluth HS,3,0,1,4
GIVE West,0,0,1,1
Head ES,0,1,0,1
Jackson ES,3,1,0,4
Lanier HS,0,1,0,1
Lanier MS,0,0,2,2
McClure Health Science HS,1,0,0,1
McConnell MS,2,0,0,2
Meadowcreek HS,0,1,0,1
Mill Creek HS,2,0,0,2
Norcross HS,1,0,0,1
North Gwinnett HS,1,0,0,1
Parkview HS,1,0,0,1
Pinckneyville MS,2,0,0,2
Puckett's Mill ES,0,1,0,1
Richards MS,12,2,0,14
Shiloh ES,1,0,0,1
Shiloh HS,0,1,0,1
Winn Holt ES,4,0,1,5
